photo_id,tag
789,"vidro, concreto, concreto aparente, estrutura, cobertura, pano de vidro, casa"
790,"vidro, pano de vidro, casa"
791,"madeira, ferro, alvenaria, mobiliário, escultura, degrau, corrimão, escada, casa"
792,"vidro, alvenaria, cerâmica, ferro, cimento, madeira, concreto, concreto aparente, telhado, beiral, fachada, platibanda, tijolo de barro, bloco de concreto, caixilho, janela, muro, habitação, residência, casa, rua"
793,"alvenaria, cimento, ferro, concreto, concreto aparente, luminária, fachada, platibanda, bloco de concreto, muro, habitação, residência, casa"
794,"vidro, alvenaria, ferro, cimento, concreto, concreto aparente, luminária, fachada, platibanda, bloco de concreto, muro, habitação, residência, casa, calçada, rua"
795,"vidro, alvenaria, ferro, cimento, concreto, concreto aparente, luminária, fachada, platibanda, bloco de concreto, muro, habitação, residência, casa, calçada, rua"
796,"vidro, alvenaria, ferro, cimento, concreto, concreto aparente, mobiliário, luminária, fachada, platibanda, bloco de concreto, porta, muro, habitação, residência, casa, calçada, rua"
797,"vidro, alvenaria, ferro, cimento, concreto, concreto aparente, mobiliário, luminária, bloco de concreto, parede, porta, habitação, residência, casa"
798,"vidro, alvenaria, ferro, cimento, concreto, concreto aparente, mobiliário, mesa, luminária, laje, bloco de concreto, elemento vazado, parede, porta, habitação, residência, casa"
799,"alvenaria, ferro, cimento, concreto, concreto aparente, mobiliário, bloco de concreto, elemento vazado, parede, habitação, residência, casa"
800,"alvenaria, ferro, madeira, cimento, concreto, concreto aparente, escultura, luminária, mobiliário, mesa, laje, pilar, bloco de concreto, elemento vazado, parede, habitação, residência, casa"
801,"alvenaria, ferro, madeira, cimento, concreto, concreto aparente, escultura, luminária, mobiliário, mesa, pilar, laje, elemento vazado, parede, habitação, residência, casa, porta"
802,"alvenaria, ferro, madeira, cimento, concreto, concreto aparente, escultura, luminária, mobiliário, mesa, laje, pilar, elemento vazado, parede, habitação, residência, casa, porta"
803,"alvenaria, ferro, madeira, cimento, concreto, concreto aparente, escultura, luminária, mobiliário, mesa, laje, pilar, elemento vazado, parede, habitação, residência, casa, porta"
804,"alvenaria, ferro, madeira, cimento, concreto, concreto aparente, escultura, luminária, mobiliário, mesa, laje, pilar, elemento vazado, parede, habitação, residência, casa, porta"
805,"concreto, concreto pintado, ferro, vidro, pedra, madeira, fachada cega, pano de vidro, esquadria, veneziana, coluna, pilotis, habitação, edifício, prédio, conjunto habitacional, jardim, calçada, rua"
806,"concreto, concreto pintado, ferro, vidro, pedra, madeira, fachada cega, pano de vidro, esquadria, veneziana, coluna, pilotis, habitação, edifício, prédio, conjunto habitacional, jardim, calçada, rua"
807,"concreto, concreto pintado, cerâmica, ferro, vidro, pano de vidro, esquadria, beiral, telha cerâmica, habitação, casa, residência, circulação, calçada, alvenaria, jardim"
808,"alvenaria, cerâmica, madeira, ferro, vidro, telha cerâmica, guarda corpo, luminária, ornamento, habitação, casa, residência, circulação, guarda-corpo, calçada"
809,"concreto, pedra, ferro, vidro, madeira, paralelepípedo, tijolo de barro, marquise, clube, esportivo, cultural, circulação, esquadria, alvenaria, concreto aparente, edifício, prédio"
810,"concreto, tijolo de barro, luminária, pilar, viga, estrutura, escada, mobiliário, clube, esportivo, cultural, concreto aparente, alvenaria, madeira"
811,"concreto, passarela, rampa, abertura, guarda-corpo, clube, esportivo, cultural, rua, poste, concreto aparente, calçada, edifício, prédio"
812,"concreto, janela, abertura, passarela, clube, esportivo, cultural, prédio, concreto aparente, guarda-corpo, edifício"
813,"cultural, concreto, abertura, clube, esportivo, concreto aparente"
814,"guarda-corpo, ferro, vidro, água, escada, guarda corpo, corrimão, pano de vidro, esquadria, marquise, ponte"
815,"vidro, ferro, concreto, concreto aparente, escultura, fachada, esquadria, caixilho, janela, ornamento, edifício, rua, calçada, poste"
816,"rua, concreto, alvenaria, madeira, ferro, vidro, pedra, veneziana, esquadria, pano de vidro, caixilho, painel, coluna, platibanda, mureta, tijolo de barro, habitação, edifício, prédio, jardim, poste, calçada"
817,"calçada, poste, vidro, ferro, concreto, caixilho, janela, brise, público, educacional, faculdade, fachada, esquadria, edifício, concreto aparente, alvenaria, prédio"
818,"vidro, ferro, passarela, concreto, viga, cobertura, beiral, mureta, escada, público, educacional, faculdade, edifício, degrau, prédio, concreto aparente"
819,"faculdade, vidro, ferro, concreto, pedra, banco, mobiliário, luminária, pilar, tijolo de barro, caixilho, janela, brise, público, educacional, fachada, cerâmica, concreto aparente, esquadria, alvenaria, edifício, prédio"
820,"faculdade, vidro, ferro, concreto, luminária, pilar, laje, cobertura, tijolo de barro, brise, mureta, público, educacional, cerâmica, concreto aparente, alvenaria, prédio, edifício"
821,"poste, cerâmica, vidro, ferro, concreto, laje, pilar, telhado, cobertura, passarela, administrativo, concreto aparente, rua"
822,"alvenaria, jardim, pastilha, concreto, concreto pintado, ferro, cerâmica, guarda-corpo, corrimão, rampa, coluna, pilotis, habitação, edifício, prédio, conjunto habitacional, circulação, rua, calçada"
